Index,Date,Time,[uSec],TagID/BPM,Freq [MHz],Codeset,Antenna,Gain,RSSI
76,8/30/2024,21:11:18,4304,24,166.38,Lotek6M,Antenna 1,75,83
77,8/30/2024,21:13:23,829653,24,166.38,Lotek6M,Antenna 1,75,89
78,8/30/2024,21:13:27,529957,24,166.38,Lotek6M,Antenna 1,75,95
79,8/30/2024,21:13:38,632405,24,166.38,Lotek6M,Antenna 1,75,93
80,8/30/2024,21:13:49,734453,24,166.38,Lotek6M,Antenna 1,75,94
81,8/30/2024,21:14:04,537397,24,166.38,Lotek6M,Antenna 1,75,94
82,8/30/2024,21:14:15,639685,24,166.38,Lotek6M,Antenna 1,75,91
83,8/30/2024,21:14:26,742565,24,166.38,Lotek6M,Antenna 1,75,74
84,8/30/2024,21:14:30,442480,24,166.38,Lotek6M,Antenna 1,75,95
85,8/30/2024,21:14:41,544907,24,166.38,Lotek6M,Antenna 1,75,93
86,8/30/2024,21:14:52,647136,24,166.38,Lotek6M,Antenna 1,75,89
87,8/30/2024,21:16:36,268555,24,166.38,Lotek6M,Antenna 1,75,72
88,8/30/2024,21:16:47,370144,24,166.38,Lotek6M,Antenna 1,75,91
89,8/30/2024,21:16:58,472512,24,166.38,Lotek6M,Antenna 1,75,87
90,8/30/2024,21:17:13,275573,24,166.38,Lotek6M,Antenna 1,75,95
91,8/30/2024,21:17:24,377573,24,166.38,Lotek6M,Antenna 1,75,92
92,8/30/2024,21:17:39,180629,24,166.38,Lotek6M,Antenna 1,75,93
93,8/30/2024,21:17:50,283248,24,166.38,Lotek6M,Antenna 1,75,84
94,8/30/2024,21:18:01,385531,24,166.38,Lotek6M,Antenna 1,75,87
95,8/30/2024,21:18:05,86192,24,166.38,Lotek6M,Antenna 1,75,82
96,8/30/2024,21:18:16,187973,24,166.38,Lotek6M,Antenna 1,75,92
97,8/30/2024,21:18:27,290821,24,166.38,Lotek6M,Antenna 1,75,78
98,8/30/2024,21:18:42,93941,24,166.38,Lotek6M,Antenna 1,75,69
99,8/30/2024,21:19:30,203088,24,166.38,Lotek6M,Antenna 1,75,89
100,8/30/2024,21:19:56,108144,24,166.38,Lotek6M,Antenna 1,75,95
101,8/30/2024,21:20:07,210443,24,166.38,Lotek6M,Antenna 1,75,86
102,8/30/2024,21:20:10,911104,24,166.38,Lotek6M,Antenna 1,75,93
103,8/30/2024,21:22:27,838704,24,166.38,Lotek6M,Antenna 1,75,84
104,8/30/2024,21:22:53,743813,24,166.38,Lotek6M,Antenna 1,75,100
105,8/30/2024,21:23:19,648955,24,166.38,Lotek6M,Antenna 1,75,90
106,8/30/2024,21:23:30,751003,24,166.38,Lotek6M,Antenna 1,75,97
107,8/30/2024,21:23:41,854096,24,166.38,Lotek6M,Antenna 1,75,69
108,8/30/2024,21:23:42,518976,89,166.38,Lotek6M,Antenna 1,75,59
109,8/30/2024,21:23:56,656320,24,166.38,Lotek6M,Antenna 1,75,98
110,8/30/2024,21:24:22,562165,24,166.38,Lotek6M,Antenna 1,75,77
111,8/30/2024,21:25:36,576581,24,166.38,Lotek6M,Antenna 1,75,87
112,8/30/2024,21:26:28,387104,24,166.38,Lotek6M,Antenna 1,75,86
113,8/30/2024,21:26:54,293003,24,166.38,Lotek6M,Antenna 1,75,57
114,8/30/2024,21:27:05,394699,24,166.38,Lotek6M,Antenna 1,75,89
115,8/30/2024,21:27:16,496613,24,166.38,Lotek6M,Antenna 1,75,97
116,8/30/2024,21:27:20,197413,24,166.38,Lotek6M,Antenna 1,75,96
117,8/30/2024,21:28:58,740587,89,166.38,Lotek6M,Antenna 1,75,62
118,8/30/2024,21:29:11,141099,89,166.38,Lotek6M,Antenna 1,75,84
119,8/30/2024,21:29:26,23531,24,166.38,Lotek6M,Antenna 1,75,53
120,8/30/2024,21:29:48,227253,24,166.38,Lotek6M,Antenna 1,75,84
121,8/30/2024,21:29:51,928624,24,166.38,Lotek6M,Antenna 1,75,55
122,8/30/2024,21:30:03,30448,24,166.38,Lotek6M,Antenna 1,75,83
123,8/30/2024,21:30:14,132752,24,166.38,Lotek6M,Antenna 1,75,81
124,8/30/2024,21:30:28,935083,24,166.38,Lotek6M,Antenna 1,75,95
125,8/30/2024,21:30:39,89045,201,166.38,Lotek6M,Antenna 1,75,65
126,8/30/2024,21:30:51,139547,24,166.38,Lotek6M,Antenna 1,75,97
127,8/30/2024,21:30:53,589739,201,166.38,Lotek6M,Antenna 1,75,54
128,8/30/2024,21:30:54,840160,24,166.38,Lotek6M,Antenna 1,75,97
129,8/30/2024,21:31:05,942677,24,166.38,Lotek6M,Antenna 1,75,91
130,8/30/2024,21:31:42,950080,24,166.38,Lotek6M,Antenna 1,75,89
131,8/30/2024,21:31:57,753061,24,166.38,Lotek6M,Antenna 1,75,93
132,8/30/2024,21:32:08,855749,24,166.38,Lotek6M,Antenna 1,75,75
133,8/30/2024,21:32:19,957461,24,166.38,Lotek6M,Antenna 1,75,92
134,8/30/2024,21:32:34,760379,24,166.38,Lotek6M,Antenna 1,75,99
135,8/30/2024,21:32:45,863216,24,166.38,Lotek6M,Antenna 1,75,76
136,8/30/2024,21:32:46,693131,201,166.38,Lotek6M,Antenna 1,75,40
137,8/30/2024,21:33:00,665584,24,166.38,Lotek6M,Antenna 1,75,95
138,8/30/2024,21:33:22,869920,24,166.38,Lotek6M,Antenna 1,75,95
139,8/30/2024,21:33:26,571376,24,166.38,Lotek6M,Antenna 1,75,77
140,8/30/2024,21:35:07,91243,25,166.38,Lotek6M,Antenna 1,75,74
141,8/30/2024,21:35:18,193344,25,166.38,Lotek6M,Antenna 1,75,88
142,8/30/2024,21:35:29,290469,999,166.38,Lotek6M,Antenna 1,75,36
143,8/30/2024,21:35:32,996469,25,166.38,Lotek6M,Antenna 1,75,88
144,8/30/2024,21:36:35,308736,24,166.38,Lotek6M,Antenna 1,75,91
145,8/30/2024,21:36:46,411077,24,166.38,Lotek6M,Antenna 1,75,94
146,8/30/2024,21:36:57,513051,24,166.38,Lotek6M,Antenna 1,75,93
147,8/30/2024,21:37:01,214085,24,166.38,Lotek6M,Antenna 1,75,90
148,8/30/2024,21:37:10,599355,201,166.38,Lotek6M,Antenna 1,75,88
149,8/30/2024,21:37:12,316048,24,166.38,Lotek6M,Antenna 1,75,91
150,8/30/2024,21:37:13,499499,201,166.38,Lotek6M,Antenna 1,75,84
151,8/30/2024,21:37:25,99909,201,166.38,Lotek6M,Antenna 1,75,85
152,8/30/2024,21:37:38,221333,24,166.38,Lotek6M,Antenna 1,75,96
153,8/30/2024,21:37:49,323493,24,166.38,Lotek6M,Antenna 1,75,96
154,8/30/2024,21:38:00,426101,24,166.38,Lotek6M,Antenna 1,75,94
155,8/30/2024,21:38:04,126763,24,166.38,Lotek6M,Antenna 1,75,93
156,8/30/2024,21:38:15,228576,24,166.38,Lotek6M,Antenna 1,75,96
157,8/30/2024,21:38:26,331547,24,166.38,Lotek6M,Antenna 1,75,73
158,8/30/2024,21:41:38,769941,24,166.38,Lotek6M,Antenna 1,75,84
159,8/30/2024,21:42:26,879269,24,166.38,Lotek6M,Antenna 1,75,89
160,8/30/2024,21:42:27,896384,89,166.38,Lotek6M,Antenna 1,75,56
161,8/30/2024,21:42:37,981264,24,166.38,Lotek6M,Antenna 1,75,91
162,8/30/2024,21:42:41,682208,24,166.38,Lotek6M,Antenna 1,75,90
