Index,Date,Time,[uSec],TagID/BPM,Freq [MHz],Codeset,Antenna,Gain,RSSI
76,8/30/2024,13:28:15,129275,999,166.38,Lotek6M,Antenna 3,75,58
77,8/30/2024,13:28:27,115947,999,166.38,Lotek6M,Antenna 3,75,66
78,8/30/2024,13:28:28,166080,521,166.38,Lotek6M,Antenna 3,75,45
79,8/30/2024,13:29:00,480197,999,166.38,Lotek6M,Antenna 3,75,66
80,8/30/2024,13:29:02,6341,999,166.38,Lotek6M,Antenna 3,75,56
81,8/30/2024,13:29:12,58523,999,166.38,Lotek6M,Antenna 3,75,68
82,8/30/2024,13:29:25,696203,999,166.38,Lotek6M,Antenna 3,75,46
83,8/30/2024,13:30:00,584219,999,166.38,Lotek6M,Antenna 3,75,60
84,8/30/2024,13:30:31,953771,999,166.38,Lotek6M,Antenna 3,75,72
85,8/30/2024,13:30:33,628507,999,166.38,Lotek6M,Antenna 3,75,62
86,8/30/2024,13:30:43,947995,999,166.38,Lotek6M,Antenna 3,75,44
87,8/30/2024,13:30:44,571867,999,166.38,Lotek6M,Antenna 3,75,58
88,8/30/2024,13:30:45,388677,999,166.38,Lotek6M,Antenna 3,75,54
89,8/30/2024,13:30:56,708971,999,166.38,Lotek6M,Antenna 3,75,63
90,8/30/2024,13:31:06,62304,999,166.38,Lotek6M,Antenna 3,75,56
91,8/30/2024,13:31:20,644960,999,166.38,Lotek6M,Antenna 3,75,66
92,8/30/2024,13:31:29,640464,999,166.38,Lotek6M,Antenna 3,75,68
93,8/30/2024,13:32:04,147072,999,166.38,Lotek6M,Antenna 3,75,77
94,8/30/2024,13:32:06,198656,999,166.38,Lotek6M,Antenna 3,75,46
95,8/30/2024,13:32:06,465264,999,166.38,Lotek6M,Antenna 3,75,48
96,8/30/2024,13:32:14,732635,999,166.38,Lotek6M,Antenna 3,75,71
97,8/30/2024,13:32:17,66272,999,166.38,Lotek6M,Antenna 3,75,83
98,8/30/2024,13:32:17,834288,999,166.38,Lotek6M,Antenna 3,75,57
99,8/30/2024,13:32:52,121083,999,166.38,Lotek6M,Antenna 3,75,58
100,8/30/2024,13:33:00,604859,999,166.38,Lotek6M,Antenna 3,75,64
101,8/30/2024,13:33:11,823227,999,166.38,Lotek6M,Antenna 3,75,60
102,8/30/2024,13:33:12,463717,254,166.38,Lotek6M,Antenna 3,75,76
103,8/30/2024,13:33:13,364624,999,166.38,Lotek6M,Antenna 3,75,59
104,8/30/2024,13:33:13,772251,999,166.38,Lotek6M,Antenna 3,75,61
105,8/30/2024,13:33:15,122411,999,166.38,Lotek6M,Antenna 3,75,60
106,8/30/2024,13:33:34,877392,999,166.38,Lotek6M,Antenna 3,75,66
107,8/30/2024,13:33:36,162048,999,166.38,Lotek6M,Antenna 3,75,58
108,8/30/2024,13:33:47,746715,999,166.38,Lotek6M,Antenna 3,75,90
109,8/30/2024,13:33:48,113824,999,166.38,Lotek6M,Antenna 3,75,76
110,8/30/2024,13:33:58,116128,47,166.38,Lotek6M,Antenna 3,75,57
111,8/30/2024,13:34:00,948368,999,166.38,Lotek6M,Antenna 3,75,79
112,8/30/2024,13:34:08,984128,999,166.38,Lotek6M,Antenna 3,75,56
113,8/30/2024,13:34:09,433819,999,166.38,Lotek6M,Antenna 3,75,52
114,8/30/2024,13:34:10,417755,999,166.38,Lotek6M,Antenna 3,75,58
115,8/30/2024,13:34:10,784571,999,166.38,Lotek6M,Antenna 3,75,59
116,8/30/2024,13:34:23,235568,999,166.38,Lotek6M,Antenna 3,75,93
117,8/30/2024,13:34:23,853349,999,166.38,Lotek6M,Antenna 3,75,59
118,8/30/2024,13:34:34,244987,999,166.38,Lotek6M,Antenna 3,75,84
119,8/30/2024,13:34:34,947083,999,166.38,Lotek6M,Antenna 3,75,68
120,8/30/2024,13:34:35,621392,999,166.38,Lotek6M,Antenna 3,75,87
121,8/30/2024,13:34:35,855680,999,166.38,Lotek6M,Antenna 3,75,55
122,8/30/2024,13:34:35,937755,999,166.38,Lotek6M,Antenna 3,75,91
123,8/30/2024,13:34:36,988000,24,166.38,Lotek6M,Antenna 3,75,79
124,8/30/2024,13:34:37,271760,999,166.38,Lotek6M,Antenna 3,75,68
125,8/30/2024,13:34:38,255776,999,166.38,Lotek6M,Antenna 3,75,55
126,8/30/2024,13:34:38,971893,999,166.38,Lotek6M,Antenna 3,75,93
127,8/30/2024,13:34:40,614235,999,166.38,Lotek6M,Antenna 3,75,65
128,8/30/2024,13:34:41,590336,999,166.38,Lotek6M,Antenna 3,75,62
129,8/30/2024,13:34:42,189733,999,166.38,Lotek6M,Antenna 3,75,80
130,8/30/2024,13:34:42,506923,999,166.38,Lotek6M,Antenna 3,75,62
131,8/30/2024,13:34:51,592827,999,166.38,Lotek6M,Antenna 3,75,89
132,8/30/2024,13:34:52,859328,999,166.38,Lotek6M,Antenna 3,75,86
133,8/30/2024,13:34:53,352016,999,166.38,Lotek6M,Antenna 3,75,84
134,8/30/2024,13:34:54,275477,999,166.38,Lotek6M,Antenna 3,75,85
135,8/30/2024,13:34:54,911339,999,166.38,Lotek6M,Antenna 3,75,64
136,8/30/2024,13:34:55,177067,999,166.38,Lotek6M,Antenna 3,75,72
137,8/30/2024,13:34:55,951291,999,166.38,Lotek6M,Antenna 3,75,74
138,8/30/2024,13:34:57,187307,999,166.38,Lotek6M,Antenna 3,75,58
139,8/30/2024,13:34:57,759973,999,166.38,Lotek6M,Antenna 3,75,87
140,8/30/2024,13:34:57,935019,999,166.38,Lotek6M,Antenna 3,75,83
141,8/30/2024,13:34:59,3733,999,166.38,Lotek6M,Antenna 3,75,52
142,8/30/2024,13:35:01,786805,999,166.38,Lotek6M,Antenna 3,75,83
143,8/30/2024,13:35:11,205984,999,166.38,Lotek6M,Antenna 3,75,78
144,8/30/2024,13:35:12,313723,999,166.38,Lotek6M,Antenna 3,75,81
145,8/30/2024,13:35:15,982917,999,166.38,Lotek6M,Antenna 3,75,59
146,8/30/2024,13:35:19,132768,999,166.38,Lotek6M,Antenna 3,75,82
